epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.659,2.14912,1.874,1.49174,0.34915,0.17951,0.19762,0.05727,2.67479,2.8603,1.76311,0.0668313,6.63507e-06,6.63507e-06
2,275.142,2.15671,1.72621,1.44656,0.57975,0.57202,0.59266,0.24186,2.06035,1.47886,1.41792,0.0335045,1.31701e-05,1.31701e-05
3,415.553,2.0256,1.54141,1.38992,0.72371,0.701,0.73684,0.307,1.98579,1.34474,1.45131,0.000177551,1.9573e-05,1.9573e-05
4,550.322,2.00019,1.52076,1.34678,0.77142,0.73156,0.77851,0.32395,1.98319,1.35277,1.43965,1.9406e-05,1.9406e-05,1.9406e-05
5,686.685,1.9128,1.39612,1.32234,0.78512,0.77225,0.79728,0.32459,1.98285,1.36428,1.42803,1.9208e-05,1.9208e-05,1.9208e-05
6,823.247,1.89665,1.31649,1.31286,0.78262,0.7772,0.79982,0.33666,1.97586,1.24145,1.41239,1.901e-05,1.901e-05,1.901e-05
7,958.27,1.87926,1.26692,1.29753,0.79005,0.77544,0.79431,0.32225,2.03192,1.26843,1.45281,1.8812e-05,1.8812e-05,1.8812e-05
8,1089.68,1.86889,1.24914,1.28851,0.78251,0.76923,0.79184,0.3222,2.04198,1.23263,1.45954,1.8614e-05,1.8614e-05,1.8614e-05
9,1222.54,1.8557,1.20802,1.28186,0.80649,0.78034,0.81641,0.34708,2.00216,1.17538,1.41954,1.8416e-05,1.8416e-05,1.8416e-05
10,1362.76,1.81932,1.18065,1.29628,0.82299,0.78927,0.82981,0.35577,1.97173,1.14153,1.39928,1.8218e-05,1.8218e-05,1.8218e-05
11,1497.42,1.84347,1.16149,1.27369,0.82281,0.79091,0.83026,0.35736,1.96161,1.13069,1.3903,1.802e-05,1.802e-05,1.802e-05
12,1631.03,1.84152,1.14634,1.27219,0.82631,0.78214,0.826,0.3559,1.97483,1.12974,1.38284,1.7822e-05,1.7822e-05,1.7822e-05
13,1764.19,1.8372,1.12045,1.26811,0.83671,0.79102,0.83309,0.36155,1.96436,1.15547,1.39272,1.7624e-05,1.7624e-05,1.7624e-05
14,1897.84,1.82176,1.11656,1.26981,0.82587,0.76694,0.81952,0.35166,2.01201,1.16212,1.42006,1.7426e-05,1.7426e-05,1.7426e-05
15,2030.92,1.81709,1.10545,1.26571,0.81913,0.76817,0.81558,0.3459,1.98872,1.15726,1.39194,1.7228e-05,1.7228e-05,1.7228e-05
16,2163.96,1.84715,1.11747,1.27403,0.81478,0.7676,0.81997,0.35666,1.98775,1.16975,1.40647,1.703e-05,1.703e-05,1.703e-05
17,2300.06,1.82358,1.09483,1.27045,0.72384,0.6976,0.71521,0.26743,2.135,1.24284,1.41695,1.6832e-05,1.6832e-05,1.6832e-05
18,2433.17,1.83119,1.09458,1.2577,0.8064,0.7558,0.80525,0.33531,2.00316,1.16528,1.38528,1.6634e-05,1.6634e-05,1.6634e-05
19,2567.07,1.81266,1.07661,1.25131,0.81684,0.76628,0.81352,0.34274,1.97874,1.14758,1.37649,1.6436e-05,1.6436e-05,1.6436e-05
20,2700.09,1.79667,1.07237,1.254,0.78705,0.74535,0.78597,0.31784,2.02974,1.16389,1.38252,1.6238e-05,1.6238e-05,1.6238e-05
21,2835.69,1.8019,1.06577,1.25691,0.8056,0.75958,0.80417,0.33589,1.9915,1.15016,1.37846,1.604e-05,1.604e-05,1.604e-05
22,2970.58,1.76766,1.0352,1.24188,0.79847,0.74912,0.79574,0.32533,2.0177,1.1618,1.38479,1.5842e-05,1.5842e-05,1.5842e-05
23,3105.46,1.77374,1.03831,1.24287,0.80143,0.75633,0.79904,0.32555,2.03208,1.15165,1.38433,1.5644e-05,1.5644e-05,1.5644e-05
24,3238.39,1.79159,1.03299,1.24402,0.81216,0.75534,0.80904,0.34491,1.98045,1.15235,1.38024,1.5446e-05,1.5446e-05,1.5446e-05
25,3371.73,1.75853,1.02226,1.23123,0.77384,0.7386,0.77299,0.30471,2.07903,1.18239,1.40229,1.5248e-05,1.5248e-05,1.5248e-05
26,3506,1.76755,1.02219,1.23346,0.79406,0.74202,0.79129,0.31961,2.04245,1.15434,1.38321,1.505e-05,1.505e-05,1.505e-05
27,3641.02,1.75171,1.00019,1.23259,0.7787,0.73891,0.77461,0.31033,2.05845,1.17061,1.39638,1.4852e-05,1.4852e-05,1.4852e-05
28,3775.37,1.76057,0.99659,1.23174,0.79975,0.7486,0.80041,0.33326,2.00991,1.14296,1.37643,1.4654e-05,1.4654e-05,1.4654e-05
