epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,9396.66,1.64317,0.79028,1.20617,0.89205,0.8466,0.90243,0.37539,1.95721,0.91599,1.36669,1.2476e-05,1.2476e-05,1.2476e-05
40,9643.01,1.63801,0.78787,1.21411,0.89493,0.84153,0.8999,0.36665,1.97901,0.92326,1.37761,1.2278e-05,1.2278e-05,1.2278e-05
41,9880.46,1.63566,0.78114,1.20202,0.89596,0.84259,0.8987,0.35916,2.00045,0.92496,1.38474,1.208e-05,1.208e-05,1.208e-05
42,10121.5,1.62933,0.78258,1.20517,0.89498,0.84285,0.90063,0.36612,1.98658,0.92359,1.37725,1.1882e-05,1.1882e-05,1.1882e-05
43,10359.3,1.62902,0.77588,1.20231,0.89542,0.84071,0.89877,0.36248,1.994,0.93488,1.37972,1.1684e-05,1.1684e-05,1.1684e-05
44,10588.7,1.62896,0.77404,1.18693,0.89417,0.84846,0.90159,0.36716,1.98209,0.92076,1.37306,1.1486e-05,1.1486e-05,1.1486e-05
45,10828.8,1.61869,0.76941,1.1983,0.89651,0.84508,0.90175,0.36967,1.976,0.91762,1.37175,1.1288e-05,1.1288e-05,1.1288e-05
46,11062.8,1.62529,0.77136,1.19259,0.8951,0.8467,0.90232,0.36973,1.97389,0.91993,1.36847,1.109e-05,1.109e-05,1.109e-05
47,11305.2,1.60963,0.76549,1.19778,0.89466,0.84977,0.90463,0.38121,1.94768,0.90705,1.35513,1.0892e-05,1.0892e-05,1.0892e-05
48,11546.8,1.60457,0.7607,1.1975,0.89343,0.85066,0.90376,0.37573,1.96094,0.90801,1.36057,1.0694e-05,1.0694e-05,1.0694e-05
49,11781.5,1.61397,0.76139,1.19048,0.8962,0.85327,0.90527,0.37634,1.9596,0.90192,1.35774,1.0496e-05,1.0496e-05,1.0496e-05
50,12025.7,1.6023,0.75637,1.20038,0.89208,0.85667,0.9066,0.38554,1.93542,0.89825,1.34799,1.0298e-05,1.0298e-05,1.0298e-05
51,12268.1,1.59776,0.75179,1.19272,0.89272,0.85859,0.9072,0.38396,1.94121,0.89305,1.35147,1.01e-05,1.01e-05,1.01e-05
52,12506,1.60822,0.75385,1.18602,0.89486,0.85644,0.90701,0.38344,1.94382,0.893,1.35055,9.902e-06,9.902e-06,9.902e-06
53,12747.6,1.59599,0.74871,1.19125,0.89448,0.85736,0.90711,0.38212,1.94605,0.89527,1.35156,9.704e-06,9.704e-06,9.704e-06
54,12985.1,1.59458,0.74613,1.18421,0.89386,0.8597,0.90807,0.3841,1.94154,0.89011,1.34842,9.506e-06,9.506e-06,9.506e-06
55,13225.5,1.59938,0.74877,1.18328,0.894,0.85959,0.908,0.38423,1.93954,0.8899,1.34578,9.308e-06,9.308e-06,9.308e-06
56,13470.4,1.59242,0.74172,1.19097,0.89297,0.85888,0.90727,0.382,1.94544,0.88908,1.34867,9.11e-06,9.11e-06,9.11e-06
57,13709.5,1.59178,0.74185,1.18455,0.89289,0.85743,0.90656,0.38153,1.94628,0.89172,1.34849,8.912e-06,8.912e-06,8.912e-06
58,13953.8,1.58865,0.74017,1.18224,0.89264,0.85846,0.90624,0.38036,1.95153,0.88989,1.35095,8.714e-06,8.714e-06,8.714e-06
59,14199.9,1.58601,0.73817,1.18644,0.89245,0.85811,0.90631,0.38325,1.94592,0.88878,1.34837,8.516e-06,8.516e-06,8.516e-06
60,14437.7,1.58625,0.73858,1.17755,0.89113,0.8578,0.90599,0.38612,1.93788,0.88907,1.34465,8.318e-06,8.318e-06,8.318e-06
61,14692.6,1.57319,0.73216,1.19023,0.88996,0.85768,0.90604,0.39184,1.92349,0.88595,1.33827,8.12e-06,8.12e-06,8.12e-06
62,14934.7,1.567,0.72799,1.17847,0.88947,0.8591,0.9063,0.39244,1.92247,0.88461,1.33817,7.922e-06,7.922e-06,7.922e-06
63,15169.9,1.57727,0.73335,1.17126,0.89027,0.85969,0.907,0.39277,1.92327,0.88158,1.33874,7.724e-06,7.724e-06,7.724e-06
64,15412.4,1.57082,0.72722,1.17647,0.89025,0.86132,0.90746,0.39106,1.92808,0.87936,1.3408,7.526e-06,7.526e-06,7.526e-06
65,15654.1,1.56394,0.72589,1.17266,0.89077,0.86207,0.90791,0.39084,1.93006,0.87638,1.34125,7.328e-06,7.328e-06,7.328e-06
66,15891.2,1.57633,0.72571,1.17202,0.89095,0.86175,0.90769,0.39144,1.92962,0.87408,1.34109,7.13e-06,7.13e-06,7.13e-06
67,16130.7,1.56796,0.72445,1.17441,0.89102,0.86186,0.90726,0.38937,1.93509,0.87476,1.34343,6.932e-06,6.932e-06,6.932e-06
