epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,8857.37,1.63394,0.76886,1.19848,0.84197,0.83243,0.88421,0.39842,1.8797,0.90744,1.34516,1.84952e-05,1.84952e-05,1.84952e-05
40,9088,1.63165,0.76456,1.20593,0.85388,0.83374,0.88574,0.3912,1.90883,0.90036,1.35681,1.84556e-05,1.84556e-05,1.84556e-05
41,9310.57,1.62627,0.75952,1.19465,0.85197,0.83056,0.88391,0.398,1.88405,0.90656,1.3446,1.8416e-05,1.8416e-05,1.8416e-05
42,9537.52,1.62286,0.7589,1.19724,0.8491,0.83195,0.88465,0.40384,1.86887,0.90298,1.33857,1.83764e-05,1.83764e-05,1.83764e-05
43,9761.19,1.62743,0.7557,1.19756,0.85111,0.83157,0.8802,0.39876,1.88318,0.91451,1.34261,1.83368e-05,1.83368e-05,1.83368e-05
44,9977.01,1.62355,0.75403,1.18085,0.85031,0.83614,0.88494,0.40311,1.86805,0.90716,1.33464,1.82972e-05,1.82972e-05,1.82972e-05
45,10203.9,1.61443,0.74885,1.19455,0.85081,0.83877,0.88775,0.40276,1.86999,0.89909,1.33648,1.82576e-05,1.82576e-05,1.82576e-05
46,10425.2,1.61503,0.74861,1.18588,0.85184,0.83539,0.88494,0.40257,1.86691,0.90119,1.33539,1.8218e-05,1.8218e-05,1.8218e-05
47,10653.6,1.60188,0.74158,1.19181,0.84094,0.83338,0.87838,0.40174,1.86368,0.90838,1.34031,1.81784e-05,1.81784e-05,1.81784e-05
48,10880.1,1.60308,0.74017,1.19406,0.84196,0.83543,0.87966,0.40253,1.86467,0.9074,1.33143,1.81388e-05,1.81388e-05,1.81388e-05
49,11100.9,1.60104,0.73902,1.18422,0.85346,0.83829,0.88783,0.40148,1.87457,0.89553,1.3315,1.80992e-05,1.80992e-05,1.80992e-05
50,11332.6,1.59379,0.73137,1.19423,0.85343,0.83755,0.88768,0.41017,1.84731,0.89104,1.3232,1.80596e-05,1.80596e-05,1.80596e-05
51,11560.7,1.59262,0.72815,1.1879,0.85709,0.83819,0.88838,0.40923,1.85092,0.89103,1.32305,1.802e-05,1.802e-05,1.802e-05
52,11784.8,1.59476,0.7269,1.17818,0.85039,0.83762,0.88434,0.40651,1.85624,0.90615,1.32476,1.79804e-05,1.79804e-05,1.79804e-05
53,12012.2,1.58324,0.72174,1.18345,0.8541,0.8374,0.88548,0.4047,1.86659,0.90128,1.32854,1.79408e-05,1.79408e-05,1.79408e-05
54,12237.6,1.58019,0.72043,1.17732,0.85021,0.83721,0.88423,0.40764,1.85687,0.89876,1.32319,1.79012e-05,1.79012e-05,1.79012e-05
55,12462.7,1.58636,0.72288,1.17762,0.85433,0.83868,0.88751,0.40848,1.85736,0.8897,1.32106,1.78616e-05,1.78616e-05,1.78616e-05
56,12692.2,1.57982,0.71632,1.18388,0.85794,0.8388,0.88924,0.40535,1.86772,0.8896,1.32483,1.7822e-05,1.7822e-05,1.7822e-05
57,12917,1.57653,0.71394,1.17652,0.856,0.83961,0.88752,0.40778,1.85967,0.8932,1.32187,1.77824e-05,1.77824e-05,1.77824e-05
58,13145,1.57214,0.7133,1.17272,0.85376,0.83966,0.88597,0.40735,1.86147,0.8938,1.32237,1.77428e-05,1.77428e-05,1.77428e-05
59,13376,1.56812,0.71005,1.17794,0.85456,0.84052,0.88639,0.40831,1.85921,0.89245,1.32206,1.77032e-05,1.77032e-05,1.77032e-05
60,13600.8,1.56569,0.70878,1.16841,0.85583,0.84052,0.88643,0.40623,1.86658,0.89553,1.32324,1.76636e-05,1.76636e-05,1.76636e-05
61,13839.6,1.54736,0.70036,1.18069,0.85848,0.84121,0.88773,0.40511,1.87206,0.89457,1.3252,1.7624e-05,1.7624e-05,1.7624e-05
62,14066.6,1.54616,0.69648,1.16953,0.85865,0.84113,0.88738,0.40533,1.87233,0.89445,1.32526,1.75844e-05,1.75844e-05,1.75844e-05
63,14288.1,1.55963,0.70308,1.16281,0.86015,0.83893,0.88722,0.40486,1.87449,0.89637,1.326,1.75448e-05,1.75448e-05,1.75448e-05
64,14516.8,1.5451,0.6946,1.1658,0.86232,0.83959,0.88804,0.40615,1.87072,0.89257,1.32468,1.75052e-05,1.75052e-05,1.75052e-05
65,14745.6,1.55769,0.70006,1.16823,0.86453,0.84022,0.88987,0.40905,1.86356,0.88394,1.32015,1.74656e-05,1.74656e-05,1.74656e-05
66,14968.2,1.55219,0.6945,1.16243,0.86479,0.8394,0.88999,0.40973,1.86207,0.8818,1.31922,1.7426e-05,1.7426e-05,1.7426e-05
67,15194.1,1.53987,0.69206,1.16293,0.86368,0.83982,0.88981,0.40926,1.86185,0.88297,1.31883,1.73864e-05,1.73864e-05,1.73864e-05
68,15418.7,1.53831,0.6892,1.15706,0.86478,0.84041,0.89012,0.40847,1.86504,0.88021,1.32014,1.73468e-05,1.73468e-05,1.73468e-05
69,15646.5,1.53245,0.68701,1.16331,0.86495,0.841,0.88982,0.4084,1.86492,0.87905,1.32026,1.73072e-05,1.73072e-05,1.73072e-05
