epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.698,1.9797,1.471,1.44623,0.72894,0.66577,0.69496,0.19713,2.47604,1.34031,1.71922,0.0667361,6.65411e-06,6.65411e-06
2,467.306,1.95393,1.3186,1.38384,0.75954,0.70981,0.75363,0.24239,2.31909,1.26411,1.61419,0.0334094,1.32944e-05,1.32944e-05
3,693.954,1.91431,1.22784,1.36436,0.76221,0.74488,0.77954,0.25631,2.265,1.19666,1.56169,8.26829e-05,1.99083e-05,1.99083e-05
4,921.343,1.90712,1.21763,1.35824,0.80481,0.75636,0.80156,0.26901,2.19454,1.14779,1.51939,1.98812e-05,1.98812e-05,1.98812e-05
5,1141.31,1.87387,1.12554,1.32688,0.82426,0.7794,0.82034,0.27813,2.17658,1.1125,1.49907,1.98416e-05,1.98416e-05,1.98416e-05
6,1365.76,1.84081,1.08056,1.32427,0.8304,0.78786,0.83075,0.29571,2.12033,1.0892,1.46846,1.9802e-05,1.9802e-05,1.9802e-05
7,1587.43,1.8428,1.06322,1.32085,0.8355,0.79889,0.83951,0.30375,2.10059,1.07231,1.45881,1.97624e-05,1.97624e-05,1.97624e-05
8,1811.04,1.82144,1.02499,1.30686,0.8509,0.80811,0.85195,0.31682,2.08042,1.05155,1.44532,1.97228e-05,1.97228e-05,1.97228e-05
9,2035.43,1.79549,1.00092,1.30021,0.8443,0.80418,0.84861,0.33565,2.02415,1.0368,1.41894,1.96832e-05,1.96832e-05,1.96832e-05
10,2257.98,1.79983,0.99341,1.29842,0.8401,0.79954,0.84161,0.34226,2.01458,1.02843,1.41181,1.96436e-05,1.96436e-05,1.96436e-05
11,2483.59,1.78389,0.97851,1.2907,0.84095,0.80394,0.84771,0.34992,1.98834,1.0228,1.39851,1.9604e-05,1.9604e-05,1.9604e-05
12,2705.62,1.77976,0.95746,1.28279,0.8255,0.79289,0.83565,0.3487,1.98684,1.02795,1.41216,1.95644e-05,1.95644e-05,1.95644e-05
13,2928.41,1.76419,0.94701,1.28011,0.84291,0.79769,0.84532,0.3605,1.95768,1.01568,1.39019,1.95248e-05,1.95248e-05,1.95248e-05
14,3148.03,1.76123,0.9309,1.26699,0.83907,0.80047,0.85007,0.36451,1.94549,1.01118,1.38467,1.94852e-05,1.94852e-05,1.94852e-05
15,3372.68,1.74735,0.91715,1.26745,0.84364,0.8002,0.85363,0.36653,1.94066,1.00927,1.38377,1.94456e-05,1.94456e-05,1.94456e-05
16,3597.77,1.73368,0.9082,1.2663,0.85042,0.80443,0.85908,0.3669,1.93923,1.01125,1.38329,1.9406e-05,1.9406e-05,1.9406e-05
17,3820.41,1.73738,0.90074,1.25773,0.83117,0.8018,0.85507,0.36921,1.92548,1.02482,1.37971,1.93664e-05,1.93664e-05,1.93664e-05
18,4046.24,1.71684,0.88924,1.26169,0.84806,0.80674,0.86441,0.37389,1.93011,0.99621,1.38273,1.93268e-05,1.93268e-05,1.93268e-05
