epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.255,2.13268,1.82685,1.49345,0.60317,0.37113,0.49038,0.17438,2.27077,2.44937,1.61197,0.0668346,9.95261e-06,9.95261e-06
2,271.01,2.15289,1.7441,1.43854,0.65641,0.63731,0.66652,0.26615,2.10898,1.43209,1.46317,0.0335111,1.97551e-05,1.97551e-05
3,404.628,2.01098,1.47681,1.3847,0.77298,0.76797,0.80327,0.33871,1.95143,1.28141,1.44847,0.000187337,2.93595e-05,2.93595e-05
4,537.627,2.00518,1.51008,1.34745,0.77319,0.73313,0.7962,0.3359,1.97099,1.42779,1.41492,2.9109e-05,2.9109e-05,2.9109e-05
5,671.176,1.90773,1.35189,1.3159,0.78103,0.77897,0.81517,0.34473,1.94287,1.41744,1.41817,2.8812e-05,2.8812e-05,2.8812e-05
6,804.407,1.89424,1.2803,1.30736,0.77341,0.77904,0.8084,0.342,1.95718,1.32808,1.41447,2.8515e-05,2.8515e-05,2.8515e-05
7,937.367,1.87218,1.21285,1.28941,0.82003,0.79176,0.82715,0.34398,1.9501,1.30349,1.4132,2.8218e-05,2.8218e-05,2.8218e-05
8,1065.92,1.85764,1.1862,1.27619,0.82447,0.79702,0.82666,0.32869,2.00193,1.27049,1.43601,2.7921e-05,2.7921e-05,2.7921e-05
9,1195.2,1.84223,1.14572,1.26754,0.83227,0.80875,0.84601,0.3608,1.94148,1.13738,1.39622,2.7624e-05,2.7624e-05,2.7624e-05
10,1331.88,1.81463,1.1309,1.2852,0.82269,0.81746,0.84155,0.35463,1.9477,1.16647,1.40205,2.7327e-05,2.7327e-05,2.7327e-05
11,1462.76,1.8316,1.11615,1.262,0.82628,0.81346,0.84122,0.34931,1.96619,1.1365,1.39857,2.703e-05,2.703e-05,2.703e-05
12,1593.42,1.8278,1.09831,1.26142,0.74593,0.73886,0.74407,0.29396,2.16595,1.31059,1.49832,2.6733e-05,2.6733e-05,2.6733e-05
13,1722.53,1.82922,1.08774,1.25294,0.80112,0.79937,0.82045,0.34431,1.97795,1.22428,1.40058,2.6436e-05,2.6436e-05,2.6436e-05
14,1851.83,1.81405,1.08008,1.26182,0.83152,0.78515,0.83364,0.34854,1.99601,1.09174,1.41954,2.6139e-05,2.6139e-05,2.6139e-05
15,1981.92,1.78905,1.05617,1.24516,0.81482,0.80318,0.83456,0.3603,1.96071,1.08941,1.38542,2.5842e-05,2.5842e-05,2.5842e-05
16,2111.66,1.80219,1.03479,1.24686,0.81143,0.79684,0.82677,0.35665,1.96343,1.11336,1.39482,2.5545e-05,2.5545e-05,2.5545e-05
17,2243.6,1.81392,1.04513,1.25705,0.73355,0.70967,0.73385,0.28576,2.15037,1.24893,1.42983,2.5248e-05,2.5248e-05,2.5248e-05
18,2373.33,1.82193,1.03586,1.24176,0.79437,0.75977,0.79768,0.33685,1.99708,1.17045,1.38571,2.4951e-05,2.4951e-05,2.4951e-05
19,2502.19,1.80466,1.02801,1.23934,0.81143,0.76842,0.81847,0.35463,1.95246,1.12384,1.36792,2.4654e-05,2.4654e-05,2.4654e-05
20,2632.56,1.78081,1.01722,1.23747,0.70825,0.6958,0.705,0.26427,2.16867,1.29032,1.4422,2.4357e-05,2.4357e-05,2.4357e-05
21,2764.45,1.79621,1.02844,1.24928,0.7434,0.7159,0.7395,0.28635,2.09543,1.23686,1.41579,2.406e-05,2.406e-05,2.406e-05
22,2896.43,1.75765,0.99849,1.23235,0.78662,0.75306,0.7753,0.31371,2.01483,1.18429,1.38705,2.3763e-05,2.3763e-05,2.3763e-05
23,3026.21,1.75938,1.00567,1.23206,0.79058,0.73178,0.77355,0.31828,2.00723,1.19749,1.37613,2.3466e-05,2.3466e-05,2.3466e-05
24,3155.07,1.78393,1.00102,1.23311,0.80195,0.73064,0.78279,0.33873,1.93935,1.19526,1.35872,2.3169e-05,2.3169e-05,2.3169e-05
