epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.27,2.12667,1.83945,1.48337,0.62654,0.38313,0.51277,0.2017,2.14266,2.3094,1.57763,0.0668346,9.95261e-06,9.95261e-06
2,258.889,2.13409,1.71477,1.43283,0.53688,0.4859,0.47412,0.17281,2.42189,1.68874,1.62278,0.0335111,1.97551e-05,1.97551e-05
3,387.553,2.01692,1.51024,1.39079,0.76887,0.75105,0.78802,0.33162,1.95967,1.29621,1.44102,0.000187337,2.93595e-05,2.93595e-05
4,514.526,2.00225,1.53054,1.34887,0.75625,0.68067,0.75043,0.31482,2.04295,1.41055,1.44636,2.9109e-05,2.9109e-05,2.9109e-05
5,642.465,1.90141,1.35338,1.31617,0.77228,0.77142,0.80765,0.33349,1.98027,1.3306,1.42979,2.8812e-05,2.8812e-05,2.8812e-05
6,772.794,1.88871,1.27314,1.30701,0.75514,0.7678,0.78637,0.32836,1.97914,1.36191,1.41469,2.8515e-05,2.8515e-05,2.8515e-05
7,900.951,1.85884,1.20107,1.2872,0.76435,0.77179,0.79465,0.31622,1.99549,1.37574,1.43393,2.8218e-05,2.8218e-05,2.8218e-05
8,1025.55,1.85637,1.17808,1.2765,0.77737,0.7877,0.79935,0.31688,1.9977,1.33337,1.4343,2.7921e-05,2.7921e-05,2.7921e-05
9,1149.88,1.83976,1.14099,1.26761,0.81141,0.79961,0.83096,0.3499,1.96834,1.16545,1.40032,2.7624e-05,2.7624e-05,2.7624e-05
10,1280.16,1.8068,1.12401,1.28307,0.81894,0.79562,0.83225,0.34849,1.97471,1.14221,1.40435,2.7327e-05,2.7327e-05,2.7327e-05
11,1405.11,1.82964,1.11178,1.26109,0.80823,0.78612,0.82349,0.34352,2.00444,1.15179,1.41302,2.703e-05,2.703e-05,2.703e-05
12,1529.82,1.827,1.09891,1.26119,0.77399,0.75903,0.78624,0.32974,2.06104,1.20378,1.43672,2.6733e-05,2.6733e-05,2.6733e-05
13,1654.08,1.83566,1.08204,1.25783,0.83127,0.79514,0.83616,0.35755,1.97574,1.13011,1.40376,2.6436e-05,2.6436e-05,2.6436e-05
14,1777.99,1.80566,1.08007,1.26146,0.8274,0.77339,0.82674,0.34232,2.00929,1.11569,1.41484,2.6139e-05,2.6139e-05,2.6139e-05
15,1903.36,1.78366,1.05042,1.2459,0.82728,0.80174,0.84688,0.36871,1.95674,1.08774,1.37403,2.5842e-05,2.5842e-05,2.5842e-05
16,2026.96,1.79957,1.03324,1.24723,0.80042,0.7761,0.81034,0.34542,2.01891,1.13629,1.40384,2.5545e-05,2.5545e-05,2.5545e-05
17,2153.38,1.81612,1.04558,1.26126,0.7412,0.73761,0.77,0.32097,2.07334,1.21093,1.39153,2.5248e-05,2.5248e-05,2.5248e-05
18,2277.01,1.8143,1.03224,1.24067,0.80305,0.78194,0.81884,0.34374,1.99629,1.11996,1.38048,2.4951e-05,2.4951e-05,2.4951e-05
19,2400.11,1.80542,1.02632,1.24081,0.8212,0.78215,0.83842,0.36501,1.96236,1.09826,1.35904,2.4654e-05,2.4654e-05,2.4654e-05
20,2525.47,1.77089,1.01396,1.23744,0.71322,0.72199,0.73559,0.29092,2.13656,1.25389,1.43245,2.4357e-05,2.4357e-05,2.4357e-05
21,2652.15,1.78948,1.02333,1.24824,0.76298,0.74866,0.77594,0.3152,2.08655,1.18712,1.41008,2.406e-05,2.406e-05,2.406e-05
22,2776.53,1.75085,0.9932,1.23216,0.79711,0.77294,0.81877,0.35264,1.95404,1.11969,1.35788,2.3763e-05,2.3763e-05,2.3763e-05
23,2901.71,1.75153,1.00245,1.23059,0.74938,0.75693,0.77142,0.31608,2.07278,1.17601,1.40843,2.3466e-05,2.3466e-05,2.3466e-05
24,3025.59,1.77242,0.99121,1.23142,0.79064,0.77872,0.82224,0.36434,1.92355,1.10933,1.34201,2.3169e-05,2.3169e-05,2.3169e-05
25,3148.86,1.73342,0.97303,1.21666,0.74051,0.74716,0.75585,0.29422,2.11779,1.20814,1.42337,2.2872e-05,2.2872e-05,2.2872e-05
26,3273.38,1.75103,0.98357,1.22447,0.76339,0.77472,0.79356,0.33428,2.00405,1.13408,1.36781,2.2575e-05,2.2575e-05,2.2575e-05
27,3398.68,1.73612,0.9637,1.22242,0.69385,0.713,0.69291,0.25673,2.19454,1.29237,1.45834,2.2278e-05,2.2278e-05,2.2278e-05
28,3523.5,1.75089,0.97069,1.22544,0.7473,0.75852,0.7587,0.30176,2.0826,1.18734,1.41005,2.1981e-05,2.1981e-05,2.1981e-05
29,3648.58,1.71923,0.94975,1.21587,0.71965,0.72686,0.7329,0.27915,2.1713,1.19774,1.4438,2.1684e-05,2.1684e-05,2.1684e-05
30,3771.73,1.74042,0.95274,1.21552,0.74129,0.74878,0.76376,0.30426,2.09423,1.17034,1.41975,2.1387e-05,2.1387e-05,2.1387e-05
